num_acidente;chv_localidade;data_acidente;uf_acidente;ano_acidente;mes_acidente;mes_ano_acidente;codigo_ibge;dia_semana;fase_dia;tp_acidente;cond_meteorologica;end_acidente;num_end_acidente;cep_acidente;bairro_acidente;km_via_acidente;latitude_acidente;longitude_acidente;hora_acidente;tp_rodovia;cond_pista;tp_cruzamento;tp_pavimento;tp_curva;lim_velocidade;tp_pista;ind_guardrail;ind_cantcentral;ind_acostamento;qtde_acidente;qtde_acid_com_obitos;qtde_envolvidos;qtde_feridosilesos;qtde_obitos
2928333;PR4106902202408;2024-08-21;PR;2024;08;082024;4106902;QUARTA-FEIRA;NOITE;COLISAO TRANSVERSAL;NUBLADO;RUA ALMIRANTE TAMANDARE;01177;00000000;ALTO DA RUA XV;0000;;;222000;MUNICIPAL;SECA;CRUZAMENTO  MESMA SUPERFICIE;ASFALTO;DESCONHECIDO;60 KMH;SIMPLES  SEM CICLOVIA;DESCONHECIDO;DESCONHECIDO;NAO INFORMADO;1;0;3;3;0
484270;MG3106200202204;2022-04-08;MG;2022;04;042022;3106200;SEXTA-FEIRA;MANHA;OUTROS ACIDENTES DE TRANSITO;NAO INFORMADO;TEREZA CRISTINA;02001;00000000;CALAFATE;0000;-19.9219244;-43.9707216;084000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
5491516;SP3533908202301;2023-01-04;SP;2023;01;012023;3533908;QUARTA-FEIRA;NOITE;COLISAO TRASEIRA;CHUVA;RUA DO IPE;00466;00000000;;0000;-20.7433671;-48.8886253;191900;MUNICIPAL;MOLHADA;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO;NAO INFORMADO;NAO;1;0;0;0;0
5475640;PE2604007201910;2019-10-30;PE;2019;10;102019;2604007;QUARTA-FEIRA;MANHA;NAO INFORMADO;DESCONHECIDAS;RODOVIA PE 90;00000;00000000;;0000;;;072000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
1048916;SC4216602202207;2022-07-17;SC;2022;07;072022;4216602;DOMINGO;MADRUGADA;COLISAO;NAO INFORMADO;SERVIDAO IRINEU JOAO DE SOUZA;00000;00000000;;0000;;;034000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
2123625;MG3101607202307;2023-07-30;MG;2023;07;072023;3101607;DOMINGO;MANHA;COLISAO TRANSVERSAL;CLARO;ALTEROSA;00101;00000000;LOTEAMENTO SINDICATO RURAL;0000;-21.4355929;-45.9488998;113227;NAO INFORMADO;SECA;MESMA SUPERFICIE  OUTROS;ASFALTO;NAO HAVIA CURVA;NAO INFORMADO;SIMPLES  SEM CICLOVIA;NAO INFORMADO;NAO;NAO;1;0;0;0;0
1311550;GO5218805202210;2022-10-01;GO;2022;10;102022;5218805;SABADO;NOITE;DESCONHECIDO;OUTRAS CONDICOES;RUA DOUTOR GORDON  CEP 75904-234;00000;00000000;SETOR PAUSANES;0000;-17.7799923;-50.9238277;200800;MUNICIPAL;NAO INFORMADO;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
3021096;RN2408102201807;2018-07-03;RN;2018;07;072018;2408102;TERCA-FEIRA;TARDE;COLISAO TRANSVERSAL;NAO INFORMADO;AV. PRUDENTE DE MORAIS;00000;00000000;;0000;;;125000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
3042006;SP3518701202204;2022-04-20;SP;2022;04;042022;3518701;QUARTA-FEIRA;NOITE;DESCONHECIDO;DESCONHECIDAS;AVENIDA UM;00002;00000000;JARDIM MAR E CEU;0000;;;184300;NAO INFORMADO;DESCONHECIDO;DESCONHECIDO;DESCONHECIDO;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;DESCONHECIDO;1;0;1;1;0
4448638;SC4202008202011;2020-11-21;SC;2020;11;112020;4202008;SABADO;MANHA;DESCONHECIDO;NAO INFORMADO;RUA 3000;00000;00000000;;0000;;;072000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
1292314;SC4206504202206;2022-06-21;SC;2022;06;062022;4206504;TERCA-FEIRA;NOITE;COLISAO;NAO INFORMADO;RUA 28 DE AGOSTO;00000;00000000;;0000;;;204500;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
744056;MG3106200202206;2022-06-20;MG;2022;06;062022;3106200;SEGUNDA-FEIRA;MANHA;DESCONHECIDO;NAO INFORMADO;NELSON HUNGRIA;01131;31842290;VILA MIRANTE;0000;-19.8358972;-43.9200833;112000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4062710;SC4205407202303;2023-03-03;SC;2023;03;032023;4205407;SEXTA-FEIRA;MANHA;COLISAO;NAO INFORMADO;AVENIDA RIO BRANCO;00000;00000000;;0000;;;094000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4314593;MG3170206201903;2019-03-11;MG;2019;03;032019;3170206;SEGUNDA-FEIRA;NOITE;COLISAO TRANSVERSAL;NAO INFORMADO;SIMAO PEDRO;00000;00000000;;0000;;;184658;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
1273926;RS4321303202002;2020-02-24;RS;2020;02;022020;4321303;SEGUNDA-FEIRA;TARDE;COLISAO FRONTAL;NAO INFORMADO;RODOVIA RS 287;00000;00000000;;0047;-0000000000;-0000000000;164000;ESTADUAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;1;10;4;6
3347575;RJ3304409202204;2022-04-18;RJ;2022;04;042022;3304409;SEGUNDA-FEIRA;TARDE;OUTROS ACIDENTES DE TRANSITO;NAO INFORMADO;RJ 155 - SATURNINO BRAGA;00000;00000000;;0000;-0000000000;-0000000000;123000;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
2388318;SP3529906202408;2024-08-13;SP;2024;08;082024;3529906;TERCA-FEIRA;MADRUGADA;CHOQUE;NEVOEIRO  NEVOA OU FUMACA;BR 116;00000;00000000;;0380;-24.2211787;-47.3648247;055000;FEDERAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;0;0;0
1208274;SC4209102202003;2020-03-19;SC;2020;03;032020;4209102;QUINTA-FEIRA;TARDE;COLISAO;NAO INFORMADO;RUA ARLINDO PEREIRA DE MACEDO;00000;00000000;;0000;;;123500;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
3909673;SC4209300202401;2024-01-08;SC;2024;01;012024;4209300;SEGUNDA-FEIRA;NOITE;DESCONHECIDO;NAO INFORMADO;AVENIDA DOM PEDRO II;00000;00000000;;0000;;;190200;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4391346;RO1100304202011;2020-11-24;RO;2020;11;112020;1100304;TERCA-FEIRA;TARDE;COLISAO TRASEIRA;NAO INFORMADO;BR 364;00000;00000000;;0000;-12.7389810;-62.6903750;143600;FEDERAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
3938034;MG3118601202301;2023-01-10;MG;2023;01;012023;3118601;TERCA-FEIRA;NOITE;QUEDA;NAO INFORMADO;PADRE JOAQUIM MARTINS;00693;00000000;EUROPA;0000;-19.8907478;-44.0859138;205000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
3768382;GO5208707202303;2023-03-22;GO;2023;03;032023;5208707;QUARTA-FEIRA;TARDE;COLISAO;OUTRAS CONDICOES;RUA AMERICA DO SUL COM CAIAPO;00000;00000000;SANTA GENOVEVA;0000;-16.6336732;-49.2176396;175500;MUNICIPAL;SECA;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
245446;MG3100203202107;2021-07-28;MG;2021;07;072021;3100203;QUARTA-FEIRA;TARDE;COLISAO TRASEIRA;CLARO;DOUTOR OSCAR VIANA;00000;00000000;SIMAO DA CUNHA;0000;-19.1538742;-45.4418973;142725;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO;NAO;1;0;2;2;0
1584239;SP3550308202207;2022-07-26;SP;2022;07;072022;3550308;TERCA-FEIRA;MANHA;COLISAO FRONTAL;CLARO;AVENIDA REBOUCAS;02023;00000000;PINHEIROS;0000;;;064500;NAO INFORMADO;SECA;DESCONHECIDO;ASFALTO;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;DESCONHECIDO;1;0;1;1;0
2430638;MA2107506202209;2022-09-08;MA;2022;09;092022;2107506;QUINTA-FEIRA;TARDE;QUEDA;NAO INFORMADO;RUA PRINCIPAL;00000;00000000;TENDAL;0000;;;171500;MUNICIPAL;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4113248;GO5208707202301;2023-01-26;GO;2023;01;012023;5208707;QUINTA-FEIRA;NOITE;DESCONHECIDO;OUTRAS CONDICOES;AVENIDA VILLE;00000;00000000;RESIDENCIAL MOINHO DOS VENTOS;0000;-16.7314623;-49.3492426;230000;MUNICIPAL;NAO INFORMADO;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4385230;MG3128709201905;2019-05-19;MG;2019;05;052019;3128709;DOMINGO;TARDE;COLISAO LATERAL;NAO INFORMADO;DONA FLORIANA;00000;00000000;;0000;;;162000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;3;3;0
4211946;SP3501608202205;2022-05-14;SP;2022;05;052022;3501608;SABADO;TARDE;COLISAO LATERAL;CLARO;AVENIDA DO COMPOSITOR;00001;00000000;SAO VITO;0000;;;131600;NAO INFORMADO;SECA;DESCONHECIDO;ASFALTO;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;DESCONHECIDO;1;0;0;0;0
3454289;GO5209606201812;2018-12-08;GO;2018;12;122018;5209606;SABADO;NOITE;DESCONHECIDO;OUTRAS CONDICOES;RUA JK;00071;00000000;CENTRO;0000;;;210000;MUNICIPAL;MOLHADA;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;SIMPLES  COM CICLOVIA;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
2715958;SC4208203202302;2023-02-08;SC;2023;02;022023;4208203;QUARTA-FEIRA;TARDE;DESCONHECIDO;NAO INFORMADO;RUA VICTOR GONCALVES;00000;00000000;;0000;;;124000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
2330641;GO5201405202407;2024-07-23;GO;2024;07;072024;5201405;TERCA-FEIRA;NOITE;COLISAO;OUTRAS CONDICOES;AVENIDA DAS NACOES;00000;00000000;JARDIM ITAPUA;0000;-16.7937500;-49.2987500;214000;MUNICIPAL;SECA;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4670056;SP3550308201911;2019-11-15;SP;2019;11;112019;3550308;SEXTA-FEIRA;TARDE;DESCONHECIDO;DESCONHECIDAS;LOGRADOURO NAO INFORMADO;00000;00000000;PONTE RASA;0000;;;152850;NAO INFORMADO;DESCONHECIDO;DESCONHECIDO;DESCONHECIDO;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;DESCONHECIDO;1;0;1;1;0
3204382;SP3516200201907;2019-07-17;SP;2019;07;072019;3516200;QUARTA-FEIRA;MANHA;DESCONHECIDO;DESCONHECIDAS;RUA DOUTOR JULIO CARDOSO;01318;00000000;CENTRO;0000;;;084016;NAO INFORMADO;DESCONHECIDO;DESCONHECIDO;DESCONHECIDO;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;DESCONHECIDO;1;0;1;1;0
1472046;PE2611606202010;2020-10-07;PE;2020;10;102020;2611606;QUARTA-FEIRA;NAO INFORMADO;DESCONHECIDO;DESCONHECIDAS;ENGENHEIRO ANTONIO DE GOES;00000;00000000;;0000;;;000000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4884420;MG3142700202007;2020-07-19;MG;2020;07;072020;3142700;DOMINGO;NOITE;COLISAO LATERAL;NAO INFORMADO;ROUSSEAU;00000;00000000;;0000;;;205316;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;4;4;0
3637016;GO5208707202309;2023-09-19;GO;2023;09;092023;5208707;TERCA-FEIRA;TARDE;COLISAO;OUTRAS CONDICOES;LJ 1105 RUA 11 PISO 1 AVENIDA LESTE OEST;00000;00000000;SETOR NORTE FERROVIARIO;0000;-16.6808820;-49.2532690;171500;MUNICIPAL;NAO INFORMADO;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4406236;PI2211001202401;2024-01-12;PI;2024;01;012024;2211001;SEXTA-FEIRA;TARDE;NAO INFORMADO;NAO INFORMADO;ESTRADA ESTADUAL PI 130;00000;00000000;;0017;-0000000000;-0000000000;121600;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;2;2;0
3680496;MG3118601202306;2023-06-05;MG;2023;06;062023;3118601;SEGUNDA-FEIRA;TARDE;COLISAO TRASEIRA;NAO INFORMADO;ITALIA;00000;00000000;GLORIA;0000;-19.9364887;-44.0478879;160000;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
372004;SP3529302202101;2021-01-08;SP;2021;01;012021;3529302;SEXTA-FEIRA;TARDE;COLISAO FRONTAL;CLARO;VIA CLITO BASTIA;00100;00000000;MATAO;0000;;;171800;NAO INFORMADO;SECA;DESCONHECIDO;ASFALTO;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;SIM;DESCONHECIDO;1;0;1;1;0
4749161;SC4203204202206;2022-06-23;SC;2022;06;062022;4203204;QUINTA-FEIRA;MANHA;DESCONHECIDO;NAO INFORMADO;RUA MONTE ALTO;00000;00000000;;0000;;;074500;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
231418;SP3549805202401;2024-01-10;SP;2024;01;012024;3549805;QUARTA-FEIRA;MANHA;COLISAO TRASEIRA;CLARO;AVENIDA ARTUR NONATO;04945;00000000;;0000;-20.8233359;-49.4195048;114500;MUNICIPAL;SECA;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO;NAO INFORMADO;NAO;1;0;0;0;0
6480229;SP3506003201910;2019-10-24;SP;2019;10;102019;3506003;QUINTA-FEIRA;MANHA;TOMBAMENTO;CLARO;SP 300;00345;00000000;JD PAGANI;0345;;;110000;NAO INFORMADO;SECA;DESCONHECIDO;ASFALTO;DESCONHECIDO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;SIM;SIM;1;0;1;1;0
4487283;GO5221403201802;2018-02-16;GO;2018;02;022018;5221403;SEXTA-FEIRA;TARDE;COLISAO;OUTRAS CONDICOES;RUA DOS CURIOS  CEP 75382-097;00000;00000000;CONJUNTO DONA IRIS II;0000;;;173600;MUNICIPAL;SECA;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;0;0;0
98163;SC4219507202112;2021-12-10;SC;2021;12;122021;4219507;SEXTA-FEIRA;NOITE;DESCONHECIDO;NAO INFORMADO;RUA RODOVIA RODOVIA SC 480;00000;00000000;;0000;;;224500;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
4617363;GO5208707202105;2021-05-18;GO;2021;05;052021;5208707;TERCA-FEIRA;MANHA;CHOQUE;OUTRAS CONDICOES;AVENIDA MILAO  CEP 74367-635;00000;00000000;RESIDENCIAL ELDORADO;0000;-16.7092180;-49.3201253;073000;MUNICIPAL;SECA;NAO INFORMADO;ASFALTO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;0;1;1;0
